id,strength,name,tags
0bad8ba3-6108-4f50-bba7-3ab20ae4f21f,,"Rocha, Andreas","digital,landscape,fantasy"
928c0e17-6141-4370-924a-1892639d5718,,"Robert, Hubert","romanticism,landscape,architecture"
d3591cdd-25d4-4046-b164-171223104832,,"Rivera, Diego","cubism,impressionism,primitivism"
2b8b09c4-bfc5-429f-acbd-2cf4c244d149,,"Riley, Bridget","abstract,monochromatic,colorful,angular"
9a7f81c9-1675-40a0-8aa0-cf8eb4afa940,3,"Rigney, Brad","fantasy,scene,character,dark"
ac8ae7bb-e377-4809-96d8-20645de26a78,2,"Riddell, Chris","cartoon,children's illustration,watercolor"
d86186f9-43ac-4f95-931d-036b76548988,3,"Rheims, Bettina","photography,portrait,nudity"
48c2cddf-f997-4c32-be78-6b6c9c6dc416,,"Rhead, Louis","art nouveau,detailed"
dc14d0c3-4191-4b05-ad76-fbcf993512af,,RHADS,"digital,surrealism,landscape,vibrant,colorful"
a3382699-3d96-498a-a019-13689a74c0f2,,"Reynolds, Wayne",
b023c669-7b71-49c5-bb11-e569a83cf821,,"Reynolds, Joshua","portrait,romanticism"
93b6309c-94c0-4115-b3fc-28d340b0f414,,"Rew, Stephanie","portrait,figurativism,realism"
b5374115-8376-4d49-a1a7-769b85b55245,,"Reuss, John","surrealism,figurativism"
592c5388-98de-495b-806c-1d5a09ce4fe2,,"Repin, Ilya","realism,impressionism,scene,portrait"
28bd88a2-52c5-4efc-a789-9673fb55d695,,"Remnev, Andrey","baroque,renaissance,portrait,character"
a98b58e7-a0a2-4ea2-add6-4f74f15192af,3,"Relander, Christoffer","photography,monochromatic,portrait,nature"
63beee7b-19e3-40c1-8095-ab11c30a90d7,3,"Rekunenko, Valentin","scene,detailed,fantasy,surrealism"
406599b0-de85-4fb8-bca6-4ee6bff78327,3,"Rego, Paula","scene,portrait"
bb186158-4c4d-4e7d-a3b1-4f0d0f1755be,3,"Reggianini, Vittorio","scene,renaissance"
ca22e1c9-7919-414e-8d8b-4c3a8e65e44c,3,"Redondo, Vicente Romero","figurativism,scene"
07e2acad-abde-42b6-b8dc-cf9f8eac2359,,"Redon, Odilon","impressionism,symbolism,low contrast"
47cbc713-54e0-4a54-804a-a557f732b9da,2,"Redmond, Granville","landscape,impressionism"
63303a3b-ca6b-4190-834e-89650132163e,3,"Redlin, Terry","landscape,luminism,nature"
606a0508-9483-4459-a565-e471b2ee421d,,"Rebelka, Jakub","surrealism,fantasy"
